City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Russell,US,78.01,overcast clouds,32.35,-85.2,Macs
469,Araguacu,BR,75.6,overcast clouds,-12.93,-49.83,Brunas Park Hotel
475,Uribia,CO,84.74,broken clouds,11.71,-72.27,Hotel Uribia
476,Puerto Gaitan,CO,82.45,broken clouds,4.31,-72.08,Brisas del Yucao
477,Santa Isabel,BR,84.0,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
482,Cururupu,BR,76.46,clear sky,-1.83,-44.87,Pousada Través'cia
485,Morro Bay,US,78.01,clear sky,35.37,-120.85,Inn at Morro Bay
487,Port Antonio,JM,82.0,clear sky,18.18,-76.46,Trident Hotel
491,Montalvo,EC,87.55,overcast clouds,-1.8,-79.33,Motel Los Laureles
502,Tiruchchendur,IN,79.16,clear sky,8.48,78.12,Hotel Udhayam International
505,Atambua,ID,79.27,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
508,Sao Filipe,CV,80.28,scattered clouds,14.9,-24.5,Tortuga B&B
513,La Asuncion,VE,80.24,scattered clouds,11.03,-63.86,Colinas de Matasiete
517,Itoman,JP,75.96,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
519,Marsh Harbour,BS,81.25,scattered clouds,26.54,-77.06,Abaco Beach Resort
523,Ghanzi,BW,75.29,clear sky,-21.57,21.78,Ghanzi Farmhouse
526,Wad Rawah,SD,84.27,clear sky,15.16,33.14,ود الترابي
529,Amuntai,ID,75.25,scattered clouds,-2.42,115.25,Hotel Balqis
532,Black River,JM,82.0,broken clouds,18.03,-77.85,Idlers' Rest Beach Hotel
537,Jizan,SA,77.67,clear sky,17.33,42.67,شهدان. ابوالحجر
540,Kununurra,AU,88.72,broken clouds,-15.77,128.73,Hotel Kununurra
544,Bairiki,KI,81.12,clear sky,1.33,172.98,Tarawa Boutique Hotel
549,San Francisco,US,75.0,clear sky,37.77,-122.42,The Clift Royal Sonesta Hotel
552,Elmina,GH,77.88,scattered clouds,5.09,-1.35,Esteem Kofi and Adjoa Guesthouse
554,Bubaque,GW,83.43,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
556,Pangkalanbuun,ID,76.89,light rain,-2.68,111.62,Grand Kecubung Hotel
559,Ariquemes,BR,83.86,light rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
563,Rodrigues Alves,BR,86.05,broken clouds,-7.74,-72.65,Pousada Aconchego
570,Eyl,SO,77.79,broken clouds,7.98,49.82,Amiin Hotel
573,Coos Bay,US,77.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
584,Iralaya,HN,81.32,scattered clouds,15.0,-83.23,Iglesia morava renovada
585,Ugoofaaru,MV,82.44,few clouds,5.67,73.0,Ungoofaaru Inn
587,Teahupoo,PF,75.0,light rain,-17.83,-149.27,Vanira Lodge
590,Ouro Preto Do Oeste,BR,81.54,light rain,-10.75,-62.22,Graúna Resort Hotel
591,Tecoanapa,MX,83.59,few clouds,16.52,-98.75,Hotel Manglares
593,Wahiawa,US,84.0,light rain,21.5,-158.02,Aloha Wahiawa
594,Lorengau,PG,84.96,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
