City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
418,Leeuwarden,NL,53.2,5.81,50.0,89,100,5.99,overcast clouds
419,Channel-Port Aux Basques,CA,47.57,-59.14,35.01,80,100,7.45,overcast clouds
420,Mehriz,IR,31.59,54.43,44.11,60,0,0.72,clear sky
421,Timra,SE,62.49,17.33,39.99,99,74,7.94,broken clouds
422,Beckley,US,37.78,-81.19,62.01,98,100,1.01,overcast clouds
423,Zhob,PK,31.34,69.45,49.69,40,0,0.96,clear sky
424,Olinda,BR,-8.01,-34.86,78.24,75,99,11.45,overcast clouds
425,Weligama,LK,5.97,80.42,76.8,89,59,6.55,broken clouds
426,Zeya,RU,53.75,127.27,22.84,95,23,3.11,few clouds
427,Kamina,CD,-8.74,24.99,64.83,94,80,4.41,broken clouds
428,Meadow Lake,US,34.8,-106.54,46.99,49,44,5.88,scattered clouds
429,Havoysund,NO,71.0,24.66,40.39,81,100,6.55,overcast clouds
430,Mikkeli,FI,61.69,27.27,46.0,96,100,5.01,moderate rain
431,Rehoboth,NA,-23.32,17.08,68.04,40,77,1.28,broken clouds
432,Leninskoye,KZ,41.76,69.39,31.75,75,0,3.67,clear sky
433,Hobyo,SO,5.35,48.53,78.93,82,79,10.25,broken clouds
434,Nunkini,MX,20.33,-90.18,81.3,79,54,3.06,light rain
435,Big Spring,US,32.25,-101.48,46.0,61,1,10.0,clear sky
436,Mizan Teferi,ET,6.98,35.58,61.14,87,0,2.53,clear sky
437,Lahij,YE,13.17,44.58,73.06,56,0,1.54,clear sky
438,Ust-Maya,RU,60.42,134.53,9.21,95,100,3.27,overcast clouds
439,Virginia Beach,US,36.85,-75.98,72.0,86,100,1.01,overcast clouds
440,Wanning,CN,18.8,110.4,78.33,88,87,14.9,overcast clouds
441,Meulaboh,ID,4.14,96.13,75.58,85,100,4.23,overcast clouds
442,Teguldet,RU,57.31,88.17,21.45,94,100,11.52,overcast clouds
443,Ewa Beach,US,21.32,-158.01,84.0,62,14,11.99,light rain
444,Teguise,ES,29.06,-13.56,64.35,86,100,20.09,overcast clouds
445,Lac Du Bonnet,CA,50.25,-96.06,27.0,98,50,8.01,scattered clouds
446,Mamallapuram,IN,12.63,80.17,77.83,74,91,12.1,overcast clouds
447,Duzce,TR,40.84,31.16,62.17,68,17,2.53,few clouds
448,Segezha,RU,63.74,34.32,45.9,86,71,13.91,broken clouds
449,Praya,CV,14.92,-23.51,79.38,84,92,10.13,overcast clouds
450,Wasilla,US,61.58,-149.44,30.0,84,10,2.46,clear sky
451,Cayenne,GF,4.93,-52.33,81.25,81,21,10.67,few clouds
452,Aklavik,CA,68.22,-135.01,18.66,89,81,4.29,broken clouds
453,Naftalan,AZ,40.51,46.83,55.36,73,0,3.65,clear sky
